trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",20,0,-117.93176332766818,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",20,0,-64.32146759189015,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",35,0,-173.72401690243254,"{0: 22, 1: 2, 2: 6, 3: 4, 4: 1}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",20,10,-39.78836702923344,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",20,0,-144.25018973970938,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",25,0,-80.16226712926343,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,0,-69.14391450658947,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",30,0,-198.15241954910795,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 4}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",30,14,-33.83691143303598,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",25,0,-86.2615838688832,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,0,-60.77857034754203,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",25,8,-31.932107649643907,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",20,13,13.470778458192138,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",25,3,-16.165295601420574,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",25,1,-17.98722349682514,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 0}",1
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",20,8,21.82570619713268,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",30,2,3.1525566491268266,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 0}",1
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",20,3,19.920777592587484,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",25,0,36.27283074565051,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",20,0,29.00532800140115,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'e': 0.0, 'a': 0.0}",25,8,25.17193598521315,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0.0, 'a': 0.0}",25,12,22.7113984931839,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0.0, 'a': 0.0}",30,6,14.891770248549083,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 0}",1
4,True,"{'e': 0.0, 'a': 0.0}",20,7,21.334629363838427,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0.0, 'a': 0.0}",30,15,-15.970569970639009,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'e': 0.0, 'a': 0.0}",30,0,38.68415507268685,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'e': 0.0, 'a': 0.0}",20,2,-11.079586362398032,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'e': 0.0, 'a': 0.0}",20,14,9.32806995382656,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0.0, 'a': 0.0}",25,16,16.85612363748345,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0.0, 'a': 0.0}",30,17,22.94084490794717,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
