trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.98, 'a': 0.5}",20,0,-49.59468955788378,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
2,False,"{'e': 0.9603999999999999, 'a': 0.5}",20,0,-148.2072991294075,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
3,False,"{'e': 0.9411919999999999, 'a': 0.5}",20,0,-173.64462838411455,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
4,False,"{'e': 0.9223681599999999, 'a': 0.5}",20,0,-95.49572825394549,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
5,False,"{'e': 0.9039207967999998, 'a': 0.5}",25,0,-167.39910232325013,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
6,False,"{'e': 0.8858423808639998, 'a': 0.5}",25,0,-40.248105299252195,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
7,False,"{'e': 0.8681255332467198, 'a': 0.5}",25,0,-86.40300318226426,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
8,False,"{'e': 0.8507630225817854, 'a': 0.5}",20,0,-114.10156455451641,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,False,"{'e': 0.8337477621301497, 'a': 0.5}",25,8,-54.85382410481972,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 0}",1
10,False,"{'e': 0.8170728068875467, 'a': 0.5}",25,0,-124.19670421783695,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
11,False,"{'e': 0.8007313507497957, 'a': 0.5}",20,0,-53.131525857170104,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
12,False,"{'e': 0.7847167237347998, 'a': 0.5}",20,0,-57.863333586077864,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
13,False,"{'e': 0.7690223892601038, 'a': 0.5}",25,0,-135.0078888538327,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
14,False,"{'e': 0.7536419414749017, 'a': 0.5}",20,0,-87.13240467106398,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
15,False,"{'e': 0.7385691026454037, 'a': 0.5}",25,0,-140.1384754443561,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
16,False,"{'e': 0.7237977205924956, 'a': 0.5}",20,0,-103.73720821424423,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
17,False,"{'e': 0.7093217661806457, 'a': 0.5}",30,0,-182.9584830571897,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",1
18,False,"{'e': 0.6951353308570327, 'a': 0.5}",30,0,-94.49853749749865,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
19,False,"{'e': 0.6812326242398921, 'a': 0.5}",20,4,-12.592782788880855,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
20,False,"{'e': 0.6676079717550942, 'a': 0.5}",20,12,-26.081213817530053,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 0}",1
21,False,"{'e': 0.6542558123199923, 'a': 0.5}",25,0,-156.20800601473744,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
22,False,"{'e': 0.6411706960735924, 'a': 0.5}",30,10,-15.062396558116747,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",1
23,False,"{'e': 0.6283472821521205, 'a': 0.5}",25,0,-55.97522205852045,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
24,False,"{'e': 0.6157803365090782, 'a': 0.5}",25,5,34.49774008199398,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'e': 0.6034647297788965, 'a': 0.5}",20,5,-131.6300514167982,"{0: 6, 1: 2, 2: 5, 3: 0, 4: 2}",1
26,False,"{'e': 0.5913954351833186, 'a': 0.5}",20,0,-65.16177472588363,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
27,False,"{'e': 0.5795675264796523, 'a': 0.5}",20,0,-12.755276430078437,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
28,False,"{'e': 0.5679761759500592, 'a': 0.5}",25,4,-58.67334619102482,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 1}",1
29,False,"{'e': 0.5566166524310581, 'a': 0.5}",20,0,-150.1390241435906,"{0: 9, 1: 3, 2: 3, 3: 4, 4: 1}",0
30,False,"{'e': 0.5454843193824369, 'a': 0.5}",20,5,-28.607728679836768,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
31,False,"{'e': 0.5345746329947881, 'a': 0.5}",20,0,-12.021361085965633,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
32,False,"{'e': 0.5238831403348924, 'a': 0.5}",20,0,-42.42344556864849,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
33,False,"{'e': 0.5134054775281945, 'a': 0.5}",30,0,-82.26003427080502,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
34,False,"{'e': 0.5031373679776306, 'a': 0.5}",30,12,-49.94043918707148,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 0}",1
35,False,"{'e': 0.493074620618078, 'a': 0.5}",20,16,7.538937645118223,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'e': 0.48321312820571644, 'a': 0.5}",20,0,-87.544046984988,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
37,False,"{'e': 0.4735488656416021, 'a': 0.5}",20,0,-5.722982395338702,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
38,False,"{'e': 0.46407788832877006, 'a': 0.5}",20,0,-39.404890937741655,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
39,False,"{'e': 0.45479633056219465, 'a': 0.5}",20,15,-2.9090863391382618,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'e': 0.44570040395095073, 'a': 0.5}",25,0,-104.95428348908834,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
41,False,"{'e': 0.4367863958719317, 'a': 0.5}",30,18,-7.110642310310812,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
42,False,"{'e': 0.42805066795449304, 'a': 0.5}",20,11,-14.733461690665598,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
43,False,"{'e': 0.41948965459540316, 'a': 0.5}",20,2,-5.880622437160106,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
44,False,"{'e': 0.4110998615034951, 'a': 0.5}",25,14,14.092161100787571,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'e': 0.4028778642734252, 'a': 0.5}",30,0,-44.919919890261006,"{0: 24, 1: 2, 2: 2, 3: 2, 4: 0}",0
46,False,"{'e': 0.39482030698795667, 'a': 0.5}",30,14,-62.24577716141007,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
47,False,"{'e': 0.38692390084819756, 'a': 0.5}",25,7,-59.41703677099237,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
48,False,"{'e': 0.3791854228312336, 'a': 0.5}",20,6,-37.16082516448311,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
49,False,"{'e': 0.37160171437460887, 'a': 0.5}",25,2,-196.14132865033184,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 5}",1
50,False,"{'e': 0.3641696800871167, 'a': 0.5}",25,0,-101.88284076984905,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
51,False,"{'e': 0.35688628648537435, 'a': 0.5}",20,13,-2.290052733593911,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'e': 0.34974856075566685, 'a': 0.5}",20,0,2.4514920125311637,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
53,False,"{'e': 0.3427535895405535, 'a': 0.5}",20,3,7.379228930460141,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
54,False,"{'e': 0.33589851774974244, 'a': 0.5}",35,23,7.291922191179674,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
