trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",20,0,-61.77597631804815,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
2,False,"{'e': 1.0, 'a': 0.5}",25,0,-123.33448395161476,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
3,False,"{'e': 1.0, 'a': 0.5}",25,0,-81.12234258982765,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
4,False,"{'e': 1.0, 'a': 0.5}",25,0,-128.0694326935937,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
5,False,"{'e': 1.0, 'a': 0.5}",25,0,-243.86859440203705,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 4}",0
6,False,"{'e': 1.0, 'a': 0.5}",20,0,-49.41377268445632,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
7,False,"{'e': 1.0, 'a': 0.5}",30,0,-248.17178353697446,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 5}",0
8,False,"{'e': 1.0, 'a': 0.5}",25,0,-284.7479657037874,"{0: 6, 1: 3, 2: 10, 3: 3, 4: 3}",0
9,False,"{'e': 1.0, 'a': 0.5}",25,0,-181.933854157528,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
10,False,"{'e': 1.0, 'a': 0.5}",25,0,-144.64657569043914,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
11,False,"{'e': 1.0, 'a': 0.5}",25,0,-115.34674844541694,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
12,False,"{'e': 1.0, 'a': 0.5}",20,0,-4.351089495950519,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
13,False,"{'e': 1.0, 'a': 0.5}",25,0,-103.37017166520972,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
14,False,"{'e': 1.0, 'a': 0.5}",35,0,-167.20126296074375,"{0: 20, 1: 6, 2: 6, 3: 1, 4: 2}",0
15,False,"{'e': 1.0, 'a': 0.5}",25,0,-57.821734454967036,"{0: 14, 1: 7, 2: 4, 3: 0, 4: 0}",0
16,False,"{'e': 1.0, 'a': 0.5}",25,0,-66.73350836721565,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
17,False,"{'e': 1.0, 'a': 0.5}",20,0,-122.0118553484097,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
18,False,"{'e': 1.0, 'a': 0.5}",20,0,-95.70041497860431,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
19,False,"{'e': 1.0, 'a': 0.5}",20,0,-140.687053874629,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
20,False,"{'e': 1.0, 'a': 0.5}",20,0,-135.2457654392272,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
1,True,"{'e': 1.0, 'a': 0.5}",25,0,-98.4450533525149,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
2,True,"{'e': 1.0, 'a': 0.5}",35,1,-147.8968330757617,"{0: 23, 1: 1, 2: 7, 3: 1, 4: 2}",1
3,True,"{'e': 1.0, 'a': 0.5}",20,0,-117.74885415683234,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
4,True,"{'e': 1.0, 'a': 0.5}",20,0,-84.5151075504134,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
5,True,"{'e': 1.0, 'a': 0.5}",20,0,-153.99091501431317,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
6,True,"{'e': 1.0, 'a': 0.5}",25,0,-141.87564036768424,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
7,True,"{'e': 1.0, 'a': 0.5}",20,0,-58.598556940144746,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,True,"{'e': 1.0, 'a': 0.5}",20,0,-67.36486546173683,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,True,"{'e': 1.0, 'a': 0.5}",25,0,-161.14878510253837,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
10,True,"{'e': 1.0, 'a': 0.5}",30,0,-120.32500528453389,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
